,Line number,Station number,marked,Datetime,time stamp (ms),conductivity (mS/m)
1104,0,0.0,0,2025-01-24 13:57:43.933085,82422108,20.4775
1105,0,0.0,0,2025-01-24 13:57:43.933274,82422297,20.4775
1106,0,0.0,0,2025-01-24 13:57:43.933463,82422486,20.4775
1107,0,0.0,0,2025-01-24 13:57:43.933652,82422675,20.4775
1108,0,0.0,0,2025-01-24 13:57:43.933841,82422864,20.4775
1109,0,0.0,0,2025-01-24 13:57:43.934030,82423053,20.4775
1110,0,0.0,0,2025-01-24 13:57:43.934219,82423242,20.4775
1111,0,0.0,0,2025-01-24 13:57:43.934408,82423431,20.4775
1112,0,0.0,0,2025-01-24 13:57:43.934597,82423620,20.4775
1113,0,0.0,0,2025-01-24 13:57:43.934786,82423809,20.4775
1114,0,0.0,0,2025-01-24 13:57:43.934974,82423997,20.4775
1115,0,0.0,0,2025-01-24 13:57:43.935163,82424186,20.4775
1116,0,0.0,0,2025-01-24 13:57:43.935352,82424375,20.4775
1117,0,0.0,0,2025-01-24 13:57:43.935541,82424564,20.4775
1118,0,0.0,0,2025-01-24 13:57:43.935730,82424753,20.4775
1119,0,0.0,0,2025-01-24 13:57:43.935919,82424942,20.4775
1120,0,0.0,0,2025-01-24 13:57:43.936108,82425131,20.4775
1121,0,0.0,0,2025-01-24 13:57:43.936297,82425320,20.4775
1122,0,0.0,0,2025-01-24 13:57:43.936486,82425509,20.4775
1123,0,0.0,0,2025-01-24 13:57:43.936675,82425698,20.4775
1124,0,0.0,0,2025-01-24 13:57:43.936864,82425887,20.4775
1125,0,0.0,0,2025-01-24 13:57:43.937053,82426076,20.4775
1126,0,0.0,0,2025-01-24 13:57:43.937242,82426265,20.4775
1127,0,0.0,0,2025-01-24 13:57:43.937430,82426453,20.4775
1128,0,0.0,0,2025-01-24 13:57:43.937619,82426642,20.4775
1129,0,0.0,0,2025-01-24 13:57:43.937808,82426831,20.4775
1130,0,0.0,0,2025-01-24 13:57:43.937997,82427020,20.4775
1131,0,0.0,0,2025-01-24 13:57:43.938186,82427209,20.4775
1132,0,0.0,0,2025-01-24 13:57:43.938375,82427398,20.4775
1133,0,0.0,0,2025-01-24 13:57:43.938564,82427587,20.4775
1134,0,0.0,0,2025-01-24 13:57:43.938753,82427776,20.4775
1135,0,0.0,0,2025-01-24 13:57:43.938942,82427965,20.4775
1136,0,0.0,0,2025-01-24 13:57:43.939131,82428154,20.4775
1137,0,0.0,0,2025-01-24 13:57:43.939320,82428343,20.4775
1138,0,0.0,0,2025-01-24 13:57:43.939509,82428532,20.4775
1139,0,0.0,0,2025-01-24 13:57:43.939698,82428721,20.4775
1140,0,0.0,0,2025-01-24 13:57:43.989681,82478704,20.4775
1141,0,0.0,0,2025-01-24 13:57:43.989869,82478892,20.4775
1142,0,0.0,0,2025-01-24 13:57:43.990058,82479081,20.4775
1143,0,0.0,0,2025-01-24 13:57:43.990246,82479269,20.4775
1144,0,0.0,0,2025-01-24 13:57:43.990435,82479458,20.4775
1145,0,0.0,0,2025-01-24 13:57:43.990623,82479646,20.4775
1146,0,0.0,0,2025-01-24 13:57:43.990812,82479835,20.4775
1147,0,0.0,0,2025-01-24 13:57:43.991000,82480023,20.4775
1148,0,0.0,0,2025-01-24 13:57:43.991189,82480212,20.4775
1149,0,0.0,0,2025-01-24 13:57:43.991377,82480400,20.4775
1150,0,0.0,0,2025-01-24 13:57:43.991566,82480589,20.4775
1151,0,0.0,0,2025-01-24 13:57:43.991754,82480777,20.4775
1152,0,0.0,0,2025-01-24 13:57:43.991943,82480966,20.4775
1153,0,0.0,0,2025-01-24 13:57:43.992131,82481154,20.4775
1154,0,0.0,0,2025-01-24 13:57:43.992320,82481343,20.4775
1155,0,0.0,0,2025-01-24 13:57:43.992508,82481531,20.4775
1156,0,0.0,0,2025-01-24 13:57:43.992697,82481720,20.4775
1157,0,0.0,0,2025-01-24 13:57:43.992885,82481908,20.4775
1158,0,0.0,0,2025-01-24 13:57:43.993074,82482097,20.4775
1159,0,0.0,0,2025-01-24 13:57:43.993262,82482285,20.4775
1160,0,0.0,0,2025-01-24 13:57:43.993451,82482474,20.4775
1161,0,0.0,0,2025-01-24 13:57:43.993639,82482662,20.4775
1162,0,0.0,0,2025-01-24 13:57:43.993828,82482851,20.4775
1163,0,0.0,0,2025-01-24 13:57:43.994017,82483040,20.4775
1164,0,0.0,0,2025-01-24 13:57:43.994205,82483228,20.4775
1165,0,0.0,0,2025-01-24 13:57:43.994394,82483417,20.4775
1166,0,0.0,0,2025-01-24 13:57:43.994582,82483605,20.4775
1167,0,0.0,0,2025-01-24 13:57:43.994771,82483794,20.4775
1168,0,0.0,0,2025-01-24 13:57:43.994959,82483982,20.4775
1169,0,0.0,0,2025-01-24 13:57:43.995147,82484170,20.4775
1170,0,0.0,0,2025-01-24 13:57:43.995336,82484359,20.4775
1171,0,0.0,0,2025-01-24 13:57:43.995524,82484547,20.4775
1172,0,0.0,0,2025-01-24 13:57:43.995713,82484736,20.4775
1173,0,0.0,0,2025-01-24 13:57:43.995901,82484924,20.4775
1174,0,0.0,0,2025-01-24 13:57:43.996090,82485113,20.4775
1175,0,0.0,0,2025-01-24 13:57:43.996278,82485301,20.4775
1176,0,0.0,0,2025-01-24 13:57:43.996467,82485490,20.4775
1177,0,0.0,0,2025-01-24 13:57:43.996656,82485679,20.4775
1178,0,0.0,0,2025-01-24 13:57:43.996844,82485867,20.4775
1179,0,0.0,0,2025-01-24 13:57:43.997033,82486056,20.4775
1180,0,0.0,0,2025-01-24 13:57:43.997222,82486245,20.4775
1181,0,0.0,0,2025-01-24 13:57:43.997410,82486433,20.4775
1182,0,0.0,0,2025-01-24 13:57:43.997599,82486622,20.4775
1183,0,0.0,0,2025-01-24 13:57:43.997787,82486810,20.4775
1184,0,0.0,0,2025-01-24 13:57:43.997976,82486999,20.4775
1185,0,0.0,0,2025-01-24 13:57:43.998164,82487187,20.4775
1186,0,0.0,0,2025-01-24 13:57:43.998353,82487376,20.4775
1187,0,0.0,0,2025-01-24 13:57:43.998541,82487564,20.4775
1188,0,0.0,0,2025-01-24 13:57:43.998730,82487753,20.4775
1189,0,0.0,0,2025-01-24 13:57:43.998919,82487942,20.4775
1190,0,0.0,0,2025-01-24 13:57:43.999107,82488130,20.4775
1191,0,0.0,0,2025-01-24 13:57:43.999296,82488319,20.4775
1192,0,0.0,0,2025-01-24 13:57:43.999484,82488507,20.4775
1193,0,0.0,0,2025-01-24 13:57:43.999673,82488696,20.4775
1194,0,0.0,0,2025-01-24 13:57:43.999862,82488885,20.4775
1195,0,0.0,0,2025-01-24 13:57:44.000050,82489073,20.4775
1196,0,0.0,0,2025-01-24 13:57:44.000239,82489262,20.4775
1197,0,0.0,0,2025-01-24 13:57:44.000427,82489450,20.4775
1198,0,0.0,0,2025-01-24 13:57:44.000616,82489639,20.4775
1199,0,0.0,0,2025-01-24 13:57:44.000804,82489827,20.4775
1200,0,0.0,0,2025-01-24 13:57:44.000993,82490016,20.4775
1201,0,0.0,0,2025-01-24 13:57:44.001181,82490204,20.4775
